Тип,Полное название,Адрес,Часы работы,Рейтинг (звёзды в яндекс-картах),Координаты,Ссылка на официальный сайт
культура,Музей Фаберже,набережная реки Фонтанки 21,10:00-20:45,5.0,59.934715,30.343151,https://fabergemuseum.ru/
культура,Гранд Макет Россия,Цветочная улица 16Л,9:30-20:00,5.0,59.888044,30.330793,https://grandmaket.ru/
культура,Музей специй,Большой проспект Васильевского острова 6,12:00-20:00,4.8,59.940625,30.289430,https://spicemuseum.com/
культура,Парк чудес Галилео,проспект Энергетиков 8 корпус 1,10:00-20:00,5.0,59.937275,30.434775,https://spb.galileopark.ru/
культура,Музей советских игровых автоматов,площадь Конюшенная 2 лит В,11:00-21:00,4.6,59.940084,30.326905,https://15kop.ru/
культура,Музей оптики Университета ИТМО,Биржевая линия 14,пн-выходной вт-пт 11:00-20:00 сб-вс 11:00-19:00,4.8,59.944217,30.295486,https://optimus.itmo.ru/
культура,Метрологический музей Госстандарта России,Московский проспект 19Ж,пн-пт 10:00-16:00 сб-вс выходной,4.3,59.917502,30.317584,https://museum.vniim.ru/
культура,Музей искусства Санкт-Петербурга XX-XXI веков,набережная канала Грибоедова 103,пн-выходной ср 14:00-21:00 вт-вс 12:00-20:00,4.6,59.932546,30.302112,https://mispxx-xxi.ru/
культура,Музей современного искусства Эрарта,29-я линия ВО 2,вт-выходной пн-вс 11:00-23:00,4.9,59.932206,30.251440,https://www.erarta.com/
культура,Российский Государственный Музей Арктики и Антарктики,улица Марата 24А,пн-вт-выходной ср-вс 10:00-18:00,4.8,59.927438,30.353483,https://polarmuseum.ru/
культура,Вселенная воды,Шпалерная улица 56Е,ср-вс 10:00-17:30,4.7,59.949532,30.376098,https://www.vodokanal-museum.ru/
культура,Государственный музей истории СПб Музей-квартира Блока,улица Декабристов 57,пн-вс 11:00-18:00 ср-выходной,4.5,59.923515,30.282172,https://www.spbmuseum.ru/
культура,Музей теней,Большая Конюшенная улица 5,11:00-22:00,4.7,59.940532,30.323434,https://shadowmuseum.ru/
культура,Государственный Эрмитаж,Дворцовая площадь 2,пн-выходной ср чт вс 11:00-18:00 вт пт сб 11:00-20:00,5.0,59.939864,30.314566,https://hermitagemuseum.org/
культура,Государственный Русский музей,Инженерная улица 2-4Д,вт-выходной ср вс 10:00-19:00 чт 10:00-18:00 пн пт сб 10:00-20:00,5.0,59.938782,30.332383,https://rusmuseum.ru/
культура,Музей обороны и блокады Ленинграда,Соляной переулок 9,пн-вс 10:00-18:00 вт-выходной,4.9,59.944354,30.340630,https://blokadamus.ru/
культура,Планетарий №1,набережная Обводного канала 74Ц,10:00-22:00,5.0,59.911482,30.330944,https://www.planetarium.one/
культура,Музей Анны Ахматовой,Литейный проспект 53В,пн вт 10:30-18:30 ср 12:00-20:00 чт-вс 10:30-17:30,4.9,59.935955,30.346791,https://www.akhmatova.spb.ru/
культура,Музей-квартира Римского-Корсакова,Загородный проспект 28,сб-вс 11:00-18:00,4.5,59.925142,30.340164,https://theatremuseum.ru/
культура,Российский этнографический музей,Инженерная улица 4/1Е,вт 10:00-21:00 ср-вс 10:00-18:00,4.9,59.937882,30.334382,https://ethnomuseum.ru/
культура,Петропавловская крепость,территория Петропавловской крепости 3,пн-вс 11:00-18:00,4.7,59.949536,30.316560,https://www.spbmuseum.ru/
культура,Крейсер Аврора,Петроградский район,ср-вс 11:00-18:00,5.0,59.955490,30.337842,https://navalmuseum.ru/
культура,Музей Достоевского,Кузнечный переулок 5,пн-вс 11:00-18:00,4.9,59.927386,30.350658,https://www.md.spb.ru/
культура,Санкт-Петербургский музей хлеба,улица Михайлова 7,ср-вс 10:00-18:00,4.7,59.953599,30.360276,https://muzei-xleb.ru/
культура,Музей-квартира Пушкина,набережная реки Мойки 12,вт-вс 10:00-18:00,5.0,59.941162,30.321302,https://www.museumpushkin.ru/
культура,Музей-квартира Зощенко,Малая Конюшенная улица 4/2,вт-вс 10:30-18:00,4.5,59.937978,30.326393,https://museum-xxvek.ru/
